"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"PersonenautoSTotaal_100";"PersonenautoSBrandstofBenzine_101";"PersonenautoSOverigeBrandstof_102";"PersonenautoSPerHuishouden_103";"PersonenautoSNaarOppervlakte_104";"Motorfietsen_105";"MeestVoorkomendePostcode_114";"Dekkingspercentage_115";"MateVanStedelijkheid_116";"Omgevingsadressendichtheid_117"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";".";"3663210";"5505600";"4100340";"8584390";"6883820";"1700575";"1.1";"255";"654385";"         .";;"2";"2010"
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";".";"4570";"8800";"5790";"14645";"11085";"3560";"1.3";"53";"1745";"         .";;"5";"281"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";"560";"1270";"830";"2035";"1605";"430";"1.3";"139";"205";"         .";;"5";"396"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";"530";"1210";"790";"1935";"1535";"405";"1.3";"768";"195";"      9468";"1";"5";"411"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";"20";"60";"40";"100";"70";"30";"1.5";"8";"10";"      9468";"1";"5";"60"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";"190";"590";"340";"865";"640";"225";"1.4";"48";"105";"         .";;"5";"125"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";"180";"510";"290";"755";"560";"195";"1.4";"443";"90";"      9463";"1";"5";"144"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";"20";"80";"50";"110";"80";"30";"1.3";"7";"10";"      9463";"1";"5";"36"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";"70";"100";"130";"265";"190";"75";"1.3";"33";"25";"         .";;"5";"152"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";"60";"80";"100";"200";"145";"55";"1.4";"351";"20";"      9467";"1";"5";"126"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";"10";"20";"30";"65";"45";"20";"1.2";"9";"5";"      9467";"1";"5";"170"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";"30";"180";"120";"260";"195";"70";"1.5";"29";"40";"         .";;"5";"52"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";;;;"260";"195";"70";"1.5";"483";"40";"      9466";"1";"5";"53"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";;;;"0";"0";"0";;;"0";"      9466";"1";"5";"22"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";"40";"90";"90";"165";"120";"45";"1.6";"15";"25";"         .";;"5";"31"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";;;;"165";"120";"45";"1.8";"386";"25";"      9465";"1";"5";"33"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";;;;"0";"0";"0";;;"0";"      9465";"1";"5";"16"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";"70";"150";"220";"390";"280";"110";"1.4";"67";"25";"         .";;"5";"207"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";"50";"140";"210";"370";"270";"100";"1.5";"388";"25";"      9469";"1";"5";"210"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";"10";"10";"10";"20";"10";"10";;;"0";"      9469";"1";"5";"184"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";"80";"170";"120";"290";"215";"80";"1.6";"45";"50";"         .";;"5";"40"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";;;;"285";"210";"75";"1.6";"224";"50";"      9658";"1";"5";"40"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";;;;"5";"5";"0";;;"0";"      9658";"1";"5";"27"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";"40";"70";"20";"95";"75";"20";"1.5";"255";"10";"         .";;"5";"34"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";"40";"70";"20";"95";"75";"20";"1.5";"427";"10";"      9656";"1";"5";"34"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";;;;"0";"0";"0";;;"0";"         .";;;
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";"20";"30";"30";"75";"50";"20";;;"15";"         .";;"5";"20"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";;;;"75";"50";"20";;;"15";"      9657";"1";"5";"21"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";;;;"0";"0";"0";;;"0";"      9657";"3";"5";"16"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";"20";"30";"50";"85";"55";"30";"1.6";"43";"15";"         .";;"5";"28"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";;;;"85";"55";"30";"1.7";"312";"15";"      9655";"1";"5";"28"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";;;;"0";"0";"0";;;"0";"      9655";"1";"5";"24"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";"90";"150";"70";"265";"195";"70";"1.5";"82";"40";"         .";;"5";"40"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";;;;"265";"195";"70";"1.5";"452";"40";"      9654";"1";"5";"40"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";;;;"0";"0";"0";;;"0";"      9655";"1";"5";"19"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";"60";"90";"50";"165";"125";"45";"1.4";"60";"30";"         .";;"5";"110"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";;;;"160";"120";"45";"1.5";"267";"30";"      9659";"3";"5";"94"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";;;;"5";"5";"0";;;"0";"      9512";"1";"5";"129"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";"10";"30";"60";"90";"65";"25";"1.5";"13";"5";"         .";;"5";"19"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";;;;"80";"60";"20";;;"5";"      9464";"1";"5";"20"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";;;;"10";"5";"5";;;"0";"      9464";"1";"5";"17"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";"370";"590";"440";"1175";"900";"275";"1.3";"60";"115";"         .";;"5";"156"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";"280";"480";"340";"945";"735";"210";"1.3";"283";"95";"      9462";"1";"5";"203"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";"30";"30";"50";"95";"65";"30";"1.6";"174";"10";"      9462";"1";"5";"50"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";"60";"90";"40";"135";"100";"35";"1";"9";"10";"      9462";"2";"5";"61"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";"490";"650";"300";"1060";"830";"230";"1.3";"181";"150";"         .";;"5";"212"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";"480";"630";"290";"1030";"810";"220";"1.3";"523";"140";"      9514";"1";"5";"216"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";"10";"20";"10";"30";"20";"10";;;"10";"      9514";"1";"5";"43"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;;"0";"0";"0";;;"0";"         .";;;
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";"110";"320";"110";"385";"300";"80";"1.3";"33";"70";"         .";;"5";"120"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";"110";"280";"110";"360";"285";"75";"1.3";"158";"70";"      9515";"1";"5";"126"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";;;;"20";"15";"5";;;"0";"      9515";"1";"5";"19"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";;;;"5";"5";"0";;;"0";"      9515";"1";"5";"78"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";"850";"1720";"1080";"2790";"2115";"675";"1.2";"114";"265";"         .";;"4";"503"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";"840";"1700";"980";"2680";"2055";"625";"1.2";"659";"250";"      9461";"1";"4";"520"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";"10";"20";"90";"110";"60";"50";"1.4";"5";"20";"      9461";"1";"5";"40"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";"370";"410";"190";"745";"535";"210";"1.4";"44";"115";"         .";;"5";"76"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";"210";"210";"100";"405";"295";"110";"1.4";"610";"75";"      9511";"1";"5";"98"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";"40";"30";"20";"50";"40";"15";;;"5";"      9511";"1";"5";"19"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";"90";"100";"20";"175";"120";"50";"1.7";"166";"20";"      9512";"1";"5";"76"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";"40";"80";"50";"115";"80";"35";"1.3";"8";"15";"      9511";"1";"5";"36"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";"810";"1590";"1110";"2520";"1940";"580";"1.2";"72";"270";"         .";;"5";"366"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";"620";"1170";"820";"2055";"1615";"440";"1.2";"617";"210";"      9451";"1";"5";"451"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";"20";"60";"40";"80";"55";"20";"1.1";"158";"10";"      9458";"1";"5";"48"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";"20";"0";"30";"60";"45";"15";;;"5";"      9452";"1";"5";"12"
"65";"BU16801903";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";"10";"40";"20";"50";"30";"20";;;"5";"      9457";"1";"5";"13"
"66";"BU16801908";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";"120";"260";"150";"190";"135";"55";"1.3";"21";"20";"      9449";"1";"5";"235"
"67";"BU16801909";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";"20";"60";"40";"90";"55";"30";"1.5";"4";"15";"      9448";"5";"5";"76"
"68";"WK168020  ";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";"210";"380";"300";"650";"455";"195";"1.3";"13";"125";"         .";;"5";"57"
"69";"BU16802000";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";"100";"210";"170";"375";"270";"100";"1.4";"488";"80";"      9444";"1";"5";"92"
"70";"BU16802001";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";"20";"60";"60";"105";"75";"30";"1.2";"142";"20";"      9443";"1";"5";"28"
"71";"BU16802008";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";"30";"10";"10";"35";"30";"10";;;"5";"      9447";"1";"5";"11"
"72";"BU16802009";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";"50";"110";"50";"135";"85";"55";"1.3";"3";"20";"      9443";"3";"5";"39"
"73";"WK168021  ";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";"60";"190";"150";"270";"190";"80";"1.4";"14";"35";"         .";;"5";"28"
"74";"BU16802100";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";"40";"90";"90";"140";"105";"35";"1.3";"369";"25";"      9454";"1";"5";"39"
"75";"BU16802101";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";"10";"40";"30";"55";"40";"20";;;"5";"      9446";"1";"5";"18"
"76";"BU16802109";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";"10";"60";"40";"75";"50";"30";"1.5";"4";"5";"      9453";"6";"5";"11"
"77";"GM0358    ";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";".";"6800";"10200";"6660";"16955";"14725";"2225";"1.3";"843";"1440";"         .";;"4";"930"
"78";"WK035800  ";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";"2800";"3990";"2560";"6695";"5860";"835";"1.2";"955";"500";"         .";;"3";"1013"
"79";"BU03580000";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";"530";"720";"690";"1320";"1165";"155";"1";"2464";"120";"      1431";"1";"3";"1070"
"80";"BU03580001";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";"1580";"2070";"1290";"3320";"2940";"380";"1.2";"1807";"255";"      1431";"1";"3";"1205"
"81";"BU03580004";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";"520";"890";"390";"1455";"1250";"205";"1.3";"562";"80";"      1431";"1";"4";"718"
"82";"BU03580005";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";"140";"330";"200";"600";"500";"95";"1.5";"292";"45";"      1431";"1";"4";"596"
"83";"WK035801  ";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";"1960";"3160";"1890";"4720";"4220";"500";"1.2";"1085";"390";"         .";;"4";"829"
"84";"BU03580100";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";"1960";"3160";"1890";"4720";"4220";"500";"1.2";"1085";"390";"      1433";"1";"4";"829"
"85";"WK035802  ";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";"2050";"3060";"2210";"5180";"4400";"780";"1.4";"592";"545";"         .";;"4";"891"
"86";"BU03580200";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";"200";"400";"150";"685";"585";"100";"1.7";"443";"80";"      1432";"1";"4";"592"
"87";"BU03580201";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";"170";"260";"190";"605";"455";"150";"1.9";"289";"90";"      1432";"1";"5";"490"
"88";"BU03580205";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";"1600";"2270";"1740";"3565";"3100";"465";"1.3";"1341";"315";"      1432";"1";"3";"1053"
"89";"BU03580206";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";"70";"130";"140";"325";"255";"70";"1.7";"133";"55";"      1432";"1";"5";"493"
"90";"GM0197    ";"Aalten                                  ";"Gemeente  ";"GM0197    ";".";"6040";"9810";"4350";"14290";"12430";"1860";"1.2";"148";"1420";"         .";;"4";"776"
"91";"WK019701  ";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";"850";"1570";"690";"2320";"1905";"415";"1.5";"34";"300";"         .";;"5";"89"
"92";"BU01970101";"Aalten                                  ";"Buurt     ";"BU01970101";"1";"20";"50";"30";"75";"60";"15";;;"5";"      7122";"1";"5";"40"
"93";"BU01970102";"Aalten                                  ";"Buurt     ";"BU01970102";"1";"150";"140";"90";"245";"200";"50";"1.5";"33";"50";"      7122";"4";"5";"33"
"94";"BU01970103";"Aalten                                  ";"Buurt     ";"BU01970103";"1";"80";"140";"50";"195";"165";"30";"1.4";"26";"20";"      7122";"5";"5";"115"
"95";"BU01970104";"Aalten                                  ";"Buurt     ";"BU01970104";"1";"70";"210";"80";"275";"225";"50";"1.6";"30";"35";"      7122";"1";"5";"26"
"96";"BU01970105";"Aalten                                  ";"Buurt     ";"BU01970105";"1";"30";"60";"30";"95";"80";"10";"1.6";"880";"15";"      7122";"1";"5";"37"
"97";"BU01970106";"Aalten                                  ";"Buurt     ";"BU01970106";"1";"20";"60";"40";"105";"85";"20";"1.6";"1019";"15";"      7122";"1";"5";"52"
"98";"BU01970107";"Aalten                                  ";"Buurt     ";"BU01970107";"1";"50";"100";"60";"125";"95";"30";"1.2";"26";"15";"      7122";"1";"5";"128"
"99";"BU01970108";"Aalten                                  ";"Buurt     ";"BU01970108";"1";"130";"270";"80";"375";"305";"70";"1.5";"28";"60";"      7122";"1";"5";"30"
"100";"BU01970109";"Aalten                                  ";"Buurt     ";"BU01970109";"1";"30";"50";"10";"45";"35";"10";;;"0";"      7122";"1";"5";"22"
"101";"BU01970110";"Aalten                                  ";"Buurt     ";"BU01970110";"1";"100";"220";"160";"445";"370";"75";"1.8";"59";"60";"      7122";"4";"5";"266"
"102";"BU01970111";"Aalten                                  ";"Buurt     ";"BU01970111";"1";"110";"250";"70";"295";"255";"40";"1.3";"26";"25";"      7121";"1";"5";"61"
"103";"BU01970112";"Aalten                                  ";"Buurt     ";"BU01970112";"1";"10";"30";"20";"45";"35";"5";;;"5";"      7121";"1";"5";"31"
"104";"WK019702  ";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";"370";"720";"390";"1020";"890";"130";"1.3";"103";"135";"         .";;"5";"202"
"105";"BU01970201";"Aalten                                  ";"Buurt     ";"BU01970201";"1";"40";"80";"50";"115";"95";"25";"1.5";"19";"15";"      7121";"1";"5";"61"
"106";"BU01970202";"Aalten                                  ";"Buurt     ";"BU01970202";"1";"30";"90";"40";"130";"110";"20";"1.5";"94";"15";"      7121";"1";"5";"104"
"107";"BU01970203";"Aalten                                  ";"Buurt     ";"BU01970203";"1";"10";"20";"30";"70";"55";"15";;;"0";"      7126";"5";"5";"147"
"108";"BU01970204";"Aalten                                  ";"Buurt     ";"BU01970204";"1";"290";"540";"270";"705";"630";"75";"1.1";"1236";"100";"      7126";"1";"5";"235"
"109";"WK019703  ";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";"2820";"4560";"2060";"6460";"5675";"790";"1.2";"1264";"610";"         .";;"3";"1031"
"110";"BU01970301";"Aalten                                  ";"Buurt     ";"BU01970301";"1";"490";"710";"300";"1000";"910";"90";"1.1";"1870";"70";"      7122";"1";"4";"948"
"111";"BU01970302";"Aalten                                  ";"Buurt     ";"BU01970302";"1";"570";"910";"310";"1360";"1140";"220";"1.3";"842";"130";"      7121";"4";"4";"981"
"112";"BU01970303";"Aalten                                  ";"Buurt     ";"BU01970303";"1";"310";"680";"230";"770";"695";"75";"1.4";"1188";"65";"      7123";"1";"4";"724"
"113";"BU01970304";"Aalten                                  ";"Buurt     ";"BU01970304";"1";"570";"890";"450";"1310";"1175";"135";"1.1";"1472";"145";"      7121";"4";"4";"970"
"114";"BU01970305";"Aalten                                  ";"Buurt     ";"BU01970305";"1";"130";"310";"250";"445";"355";"90";"1.4";"1058";"35";"      7122";"1";"5";"442"
"115";"BU01970306";"Aalten                                  ";"Buurt     ";"BU01970306";"1";"200";"400";"160";"495";"440";"55";"1.1";"1581";"65";"      7121";"1";"3";"1072"
"116";"BU01970307";"Aalten                                  ";"Buurt     ";"BU01970307";"1";"530";"670";"370";"1090";"965";"120";"1";"1569";"100";"      7121";"4";"3";"1408"
"117";"WK019704  ";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";"1990";"2960";"1210";"4465";"3960";"505";"1.2";"326";"375";"         .";;"4";"791"
"118";"BU01970400";"Aalten                                  ";"Buurt     ";"BU01970400";"1";"770";"890";"280";"1390";"1245";"150";"1";"1603";"105";"      7091";"1";"4";"961"
"119";"BU01970401";"Aalten                                  ";"Buurt     ";"BU01970401";"1";"440";"660";"280";"990";"895";"90";"1.3";"1629";"85";"      7091";"1";"4";"905"
"120";"BU01970402";"Aalten                                  ";"Buurt     ";"BU01970402";"1";"560";"900";"410";"1315";"1180";"135";"1.3";"1045";"90";"      7091";"1";"4";"779"
"121";"BU01970403";"Aalten                                  ";"Buurt     ";"BU01970403";"1";"60";"150";"50";"215";"185";"30";"1.5";"960";"35";"      7095";"1";"5";"74"
"122";"BU01970408";"Aalten                                  ";"Buurt     ";"BU01970408";"1";"50";"100";"50";"145";"115";"30";"1.5";"85";"20";"      7091";"4";"5";"339"
"123";"BU01970409";"Aalten                                  ";"Buurt     ";"BU01970409";"1";"110";"260";"140";"405";"340";"65";"1.6";"45";"40";"      7095";"1";"5";"60"
"124";"GM0059    ";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";".";"7360";"10110";"3300";"14740";"10545";"4195";"1.3";"144";"1210";"         .";;"5";"427"
"125";"WK005900  ";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";"2960";"4300";"1540";"6210";"4420";"1790";"1.2";"134";"500";"         .";;"5";"403"
"126";"BU00590000";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";"1040";"1690";"930";"2455";"1810";"645";"1.1";"986";"205";"      9285";"1";"4";"609"
"127";"BU00590001";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";"330";"370";"80";"580";"435";"145";"1.4";"311";"55";"      9286";"1";"5";"114"
"128";"BU00590002";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";"620";"810";"120";"1085";"765";"320";"1.2";"866";"70";"      9288";"1";"5";"306"
"129";"BU00590003";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";"490";"600";"90";"810";"625";"185";"1.3";"642";"80";"      9287";"1";"5";"315"
"130";"BU00590004";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";"150";"300";"70";"405";"305";"100";"1.3";"653";"25";"      9873";"1";"5";"144"
"131";"BU00590005";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";"170";"220";"120";"345";"220";"125";"1.4";"22";"35";"      9285";"1";"5";"245"
"132";"BU00590006";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";"10";"50";"10";"40";"25";"15";;;"5";"      9286";"1";"5";"76"
"133";"BU00590007";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";"80";"150";"40";"335";"135";"200";;;"15";"      9288";"1";"5";"106"
"134";"BU00590008";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";"70";"80";"40";"115";"75";"40";"1.2";"25";"10";"      9287";"1";"5";"88"
"135";"BU00590009";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";"20";"20";"10";"40";"30";"15";;;"5";"      9873";"1";"5";"45"
"136";"WK005901  ";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";"870";"1290";"360";"1805";"1255";"545";"1.4";"90";"185";"         .";;"5";"168"
"137";"BU00590100";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";"70";"110";"20";"120";"85";"35";"1.2";"403";"10";"      9871";"4";"5";"137"
"138";"BU00590102";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";"410";"580";"170";"800";"575";"225";"1.3";"653";"80";"      9289";"1";"5";"219"
"139";"BU00590103";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";"300";"410";"100";"630";"440";"190";"1.4";"623";"50";"      9284";"1";"5";"142"
"140";"BU00590107";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";"10";"20";"10";"50";"35";"15";;;"5";"      9872";"1";"5";"63"
"141";"BU00590108";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";"20";"100";"30";"90";"50";"40";"1.4";"10";"30";"      9289";"1";"5";"115"
"142";"BU00590109";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";"50";"80";"20";"115";"75";"40";"1.6";"19";"10";"      9284";"1";"5";"41"
"143";"WK005902  ";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";"3530";"4520";"1400";"6725";"4870";"1855";"1.2";"187";"530";"         .";;"4";"509"
"144";"BU00590200";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";"1390";"1950";"610";"2905";"2145";"760";"1.2";"922";"220";"      9231";"1";"4";"693"
"145";"BU00590201";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";"1300";"1420";"310";"1990";"1495";"495";"1.2";"801";"135";"      9281";"1";"5";"484"
"146";"BU00590202";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";"210";"350";"120";"505";"340";"165";"1.4";"521";"55";"      9283";"1";"5";"115"
"147";"BU00590203";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";"270";"230";"70";"400";"295";"105";"1.3";"599";"40";"      9233";"1";"5";"174"
"148";"BU00590206";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";"80";"190";"70";"285";"195";"85";"1.9";"64";"25";"      9231";"1";"5";"269"
"149";"BU00590207";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";"90";"80";"60";"140";"85";"55";"1.3";"35";"10";"      9281";"1";"5";"158"
"150";"BU00590208";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";"60";"140";"100";"245";"150";"95";"1.6";"18";"20";"      9283";"1";"5";"110"
"151";"BU00590209";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";"100";"170";"80";"250";"160";"90";"1.4";"40";"25";"      9233";"1";"5";"97"
"152";"GM0482    ";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";".";"4660";"6710";"3100";"9160";"7875";"1285";"1.1";"1044";"585";"         .";;"2";"1519"
"153";"WK048201  ";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";"970";"1630";"790";"2115";"1845";"270";"1";"2318";"155";"         .";;"2";"1709"
"154";"BU04820101";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";"160";"240";"190";"445";"375";"70";"1.2";"2093";"30";"      2951";"4";"2";"1791"
"155";"BU04820102";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";"190";"180";"50";"230";"205";"20";"0.6";"2327";"15";"      2951";"1";"2";"1773"
"156";"BU04820103";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";"300";"610";"250";"655";"585";"75";"1";"2917";"45";"      2951";"1";"2";"1887"
"157";"BU04820104";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";"120";"190";"90";"265";"235";"35";"1.4";"1836";"40";"      2952";"1";"3";"1202"
"158";"BU04820105";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";"200";"410";"200";"520";"445";"75";"1.1";"2243";"25";"      2951";"1";"2";"1635"
"159";"WK048202  ";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";"940";"1290";"600";"1590";"1395";"195";"1";"1668";"130";"         .";;"4";"873"
"160";"BU04820201";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";"140";"170";"130";"295";"250";"45";"1.3";"969";"35";"      2953";"1";"4";"750"
"161";"BU04820202";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";"300";"490";"150";"535";"470";"60";"0.9";"3503";"35";"      2953";"1";"4";"812"
"162";"BU04820203";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";;;;"190";"170";"20";"1.2";"2136";"10";"      2953";"1";"3";"1335"
"163";"BU04820204";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1";;;;"0";"0";"0";;;"0";"      2953";"1";"3";"1375"
"164";"BU04820205";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1";"240";"290";"130";"345";"310";"35";"0.8";"2974";"30";"      2953";"1";"4";"896"
